time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-10-17T20:00:20Z,30.107952,31.372328,76.43592125793475,8.0,118.11647,5.5817432,9,gps,0.8,1.8,2.5,16.6,,
2016-10-17T20:00:31Z,30.107619,31.372779,76.74405727444318,8.0,133.45586,5.2684317,9,gps,1.7,1.8,2.5,16.6,,
2016-10-17T20:00:42Z,30.107287,31.373164,79.67173933397103,6.0,134.42075,5.2523036,9,gps,1.5,3.4,3.7,16.6,,
2016-10-17T20:00:52Z,30.107038,31.373460,83.07332083592384,8.0,139.44908,1.4150991,9,gps,1.3,1.8,2.2,16.6,,
2016-10-17T20:01:03Z,30.107038,31.373460,83.21297026118239,12.0,139.44908,0.0,10,gps,1.3,1.8,2.2,16.6,,
2016-10-17T20:01:22Z,30.106837,31.373416,,22.855,,,0,network,,,,,,
2016-10-17T20:01:28Z,30.106583,31.373148,,21.739,,,0,network,,,,,,
2016-10-17T20:01:42Z,30.106382,31.372835,,22.442,,,0,network,,,,,,
2016-10-17T20:01:47Z,30.106330,31.372880,,23.753,,,0,network,,,,,,
2016-10-17T20:01:55Z,30.106100,31.372522,,21.437,,,0,network,,,,,,
